Referência:;2021;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;
Subdepartamento;Conta;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado
001.001.0001 - Linha de Produção;001.0001 - Salários;1992908,23;1838399,93;1414713,46;1609947,46;1464525,69;1648408,35;1720243,45;1627896;2233670,5;1529290,33;1877900,63;2115231,45;1733268,5;1798005,55;1660847,07;1973911,5;1500234,44;2115967,54;1510625,7;1894075,58;1551627,4;2063810,67;1732018,25;1580450,25
001.001.0002 - Gerência de Produção;001.0001 - Salários;322158,15;325922,11;241743,96;305236,74;338299,45;274272,58;322223,39;273537,95;343592,44;276007,66;339279,26;367568,48;304553,11;344914,32;267293,63;332254,33;366037,87;368473,68;374783,29;299298,8;269132,52;365808,5;297490,34;329713,57
001.002.0001 - Equipe de Vendas;001.0001 - Salários;169897,01;173112,08;164009,05;135570,71;160028,31;157984,52;175059,91;172372,73;222439,05;171522,14;153133,2;195178,51;174962,88;142458,75;165693,91;210629,24;160755,07;198622,85;215207,6;166410,21;155783,21;177931,27;211844,68;166423,68
001.002.0002 - Marketing Digital;001.0001 - Salários;68655,7;70094,68;71346,5;76468,99;58582,44;62069,16;77691,62;76554,65;76598,47;86883,29;79369,37;79452,45;59777,45;83171,31;77095,95;63098,35;74989,88;83263,44;61900,22;68898,15;80339,53;79377,51;84851,38;72459,76
001.002.0003 - Pesquisa de Mercado;001.0001 - Salários;26361,52;33223,07;29723,05;23017,45;32673,1;28353,3;33539,15;29691,3;25657,53;31044,61;30134,41;32470,81;33375,31;33143,83;26971,31;33382,37;30445,35;34769,91;26454,15;31937,96;30845,74;29423,29;30298,15;29296,64
001.002.0004 - Gerência de Vendas;001.0001 - Salários;12470,08;11222,95;11830,48;12622,8;13114,04;12809,49;11441,74;14948,7;14310,1;13030,83;16905,52;16686,78;15909,94;13066,76;17372,02;12229,53;16543,21;15798,72;18028,37;18178,71;15534,43;16100,4;14572,57;13498,54
001.003.0001 - Recrutamento e Seleção;001.0001 - Salários;21960,62;22910,63;28701,79;25207,96;25397,83;20348,36;29459,01;22994,11;24683,77;30288,88;21366,79;28348,57;29626,76;24954,1;27496,29;30798,82;31136,8;31127,69;31261,98;27319,61;25301,79;31479,13;27879,03;28979,56
001.003.0002 - Treinamento e Desenvolvimento;001.0001 - Salários;20283,31;22827,54;22683,68;17185,78;19384,97;24906,47;19382,32;19136,92;20563,8;23349,22;19649,26;24883,91;19787,14;19345,93;21713,28;23070,68;24654,19;22065,59;26842,49;23677,73;22990,16;18363,72;24359,33;26780,94
001.003.0003 - Remuneração e Benefícios;001.0001 - Salários;15814,69;18229,66;15775,38;15022,53;15845,51;16861,65;16495,83;16045,65;19106,79;17628,59;14600,86;17021,53;18837,36;14247,19;20786,93;15551,99;15407,48;19480,44;21159,47;21044,76;20463,05;16677,46;20840,18;18095,47
001.003.0004 - Relações Trabalhistas;001.0001 - Salários;11083,17;11812,32;13333,33;12394,73;12997,21;11156,69;10285,43;14975,43;12858;12001,36;15078,97;11525,78;11474,16;11409,3;15421,51;15712,92;14805,19;14341,96;16495,58;15463,9;12896,59;12222,42;15539,23;15747,71
001.003.0005 - Gerência de RH;001.0001 - Salários;9296,23;7778,01;6829,66;8791,97;8800,04;8444,98;8734,18;10220,79;8054,92;10567,85;9457,59;8367,58;7894,31;7998,54;7593,55;9646,19;9243,48;10058,82;9598,9;10663,17;7301,6;10682,33;8777,48;9684,74
001.004.0001 - Contabilidade Geral;001.0001 - Salários;19916,28;23453,2;22085,19;19885,01;18205,65;24019,82;18528,67;19576,55;27388,44;20520,81;24775,69;21656,72;22956,57;26489,79;24922,28;20328,17;21880,19;27553,39;21405,11;20716,28;20909,25;27423,26;20131,63;27218,92
001.004.0002 - Planejamento Financeiro;001.0001 - Salários;12262,57;12998,69;12148,3;16000,81;14487,96;13849,08;16074,5;12730,58;16655,93;15675,94;12704,19;12530,39;12772,23;16413,42;14281,15;15856,71;17959,37;13766,23;16838,35;15556,99;15026,54;13034,92;15110,9;13934,87
001.004.0003 - Tesouraria;001.0001 - Salários;11354,79;11812,62;12932,55;9936,4;13552,35;12741,22;11369,94;12207,16;14787;14096,88;13096,53;9831,03;12950,17;10489,59;11653,66;13611,19;10116,79;12009,93;10947,23;14546,89;14529,53;11129,12;12897,02;10705,64
001.004.0004 - Controladoria;001.0001 - Salários;7590,64;7631,56;7753,02;7455,57;8124,5;8980,52;9732,2;7390,62;9071,33;11151,88;8145,96;8325,62;7657,17;7513,52;7340,07;8712,89;9405,74;9379,94;8004,69;10995,5;7360,07;9657,2;8919,5;10851,7
001.005.0001 - Pesquisa e Desenvolvimento;001.0001 - Salários;32878,41;25858,42;24820,83;32551,93;30638,36;23470,41;32497,39;29824,69;33723,65;31559,03;23944,41;33129,34;29868,5;29006,85;34077,59;27063,26;27154,4;32072,85;34229,62;30709,6;30598,24;36576,41;27682,21;25553,9
001.006.0001 - Testes de Qualidade;001.0001 - Salários;63147,16;50452,62;48166,1;64233,94;68631,64;67140,25;66489,38;48442,61;66058,85;55559,9;53685,42;67665,66;54855,58;56127,39;50900,12;70916,67;58793,23;54674,91;68749,56;73753,16;63640,21;72013,49;73128,99;76660,91
001.006.0002 - Inspeção de Produtos;001.0001 - Salários;17006,99;17546,07;19253,53;16368,04;14117,85;14727,9;17391,88;13749,72;19944,19;19246,82;18854,27;19051,27;20981,13;20100,95;18974,98;20207,97;19106,96;16425,19;17364,26;16325,69;17133,79;17931,57;17709,88;15825,78
001.006.0003 - Documentação Legal;001.0001 - Salários;9511,52;8259,3;9732,71;7566,25;7744,27;8289,42;7323,83;7195,63;8932;10170,89;10034,62;8957,99;7321,22;9526,88;7994,46;10358,15;10506,61;9915,01;8596,13;8492,42;10248,74;8188,05;9164,4;9599,72
001.007.0001 - Gerenciamento de Estoques;001.0001 - Salários;18207,13;21026,57;19119,33;24591,96;18524,28;24127,63;20632,2;22559,71;21999,02;26651,18;26957,81;21513,12;23900,68;27733,8;23778,19;27570,03;23007,98;25259,83;24037,55;21178,37;21115,53;28270,01;21076,1;23567,86
001.007.0002 - Transporte e Distribuição;001.0001 - Salários;17286,01;18597,18;20252,14;16463,09;20867,47;21147,49;18191,55;21400,64;20108,73;23970,34;20124,93;16759,99;19342,36;24292,41;18866,65;16839,63;21505,71;24652,67;21061,46;18805,89;20562,12;18849,18;17591,83;21159,52
001.007.0003 - Aquisição e Compras;001.0001 - Salários;11359,85;13087,84;11885,01;8740,43;13421,03;9118,32;9594,29;10998,15;11115,7;11536,83;12417,43;9814,35;10333,01;13527,01;11893,5;12743,31;13352,79;12040;10163,14;11590,35;11999,05;12255,03;12091,17;12265,49
001.007.0004 - Planejamento de Suprimentos;001.0001 - Salários;2471,65;2249,14;3033,51;2988,33;2834,98;2895,13;2976,15;2794,23;2922,03;2649,06;2545,2;3555,48;3457,14;2945,04;2639,73;2763,53;3438,86;2481,26;3229,76;3335,95;3173,18;3454,08;2530,36;2627,85
001.008.0001 - Suporte Técnico;001.0001 - Salários;32166,2;34811,33;35136,39;29152,88;28252,48;27505,73;29255,19;28440,6;39732,15;32807,74;29683,7;42104,29;33503,39;39836,95;31897,34;31650,93;37813,34;37589,66;32094,03;34712,45;39033,99;30165,84;32800,85;31204,84
001.008.0002 - Desenvolvimento de Software;001.0001 - Salários;24570,14;23699,33;23571,59;28521,28;23389,55;20283,91;24279,78;29178,57;31497,56;29707,73;26194,98;26116,38;26259,51;23804,98;24071,47;30659,84;25188,55;26081,45;30422,61;24725,16;23568,27;24259,05;25840,75;25478,53
001.008.0003 - Gerenciamento de Redes;001.0001 - Salários;14387,08;17102;18348,61;15273,75;20228,03;13764,55;18106,43;14544,62;18594,28;18253,24;17800,79;14740,69;19565,79;18990,67;15603,01;18173,03;19375,66;17384,91;17645,82;17710,89;16011,61;21501,55;15931,77;19870,35
001.008.0004 - Segurança da Informação;001.0001 - Salários;6782,71;7366,32;7978,91;8556,05;9137,56;9562,52;8976,46;7073,93;9040,91;9792,29;7329,86;7230,39;7254,04;9272,04;8290,16;7195,48;10369,91;8389,81;10509,45;10506,62;10188,58;8656,39;9384,51;9520,73
001.009.0001 - Novos Projetos;001.0001 - Salários;24211,68;24762,78;23022,51;23539,98;22975,89;22803,09;26703,69;25638,22;27141,33;23178,15;28171;27200,59;26527,05;19086,04;20756,91;19060,56;20477,75;21080,97;20937,89;29465,01;23429,85;26596,89;25383,68;25687,01
001.009.0002 - Gestão de Projetos;001.0001 - Salários;13704,8;16225,83;18324,01;13459,17;14785,19;15043,05;19638,27;18713,99;19950,11;18895,43;19799,46;20570,77;19919,47;15407,16;17357,1;18767,19;20600,17;14769,44;14863,33;17412,63;17562,62;21813,86;14867,56;18147,64
001.009.0003 - Desenho Tecnico;001.0001 - Salários;10255,94;9000,3;13211,53;12884,86;12533,23;10816,82;10181,59;12889,57;11494,62;12407,24;9560,16;9893,73;13021,47;11200,03;12316,91;10425,82;12918,92;13335,19;10646,33;11743,89;10299,65;13775,58;12009,57;12723,21
